Image_Number,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10,Human11,Human12,Human13,Human14,Human15,Human16,Human17,Human18,Human19,Human20,Aura
484279,135.64,93.00,,,,,,,,,,,,,,,,,,,114.32
312341,45.44,46.16,35.92,13.79,51.88,,,,,,,,,,,,,,,,38.64
465418,56.09,9.47,37.50,11.97,9.52,14.16,15.10,25.86,,,,,,,,,,,,,22.46
555622,152.80,60.51,19.54,27.04,37.84,22.93,24.80,18.78,44.63,46.35,10.41,33.37,20.65,294.00,,,,,,,58.12
37209,125.41,28.87,,,,,,,,,,,,,,,,,,,77.14
277542,67.37,,,,,,,,,,,,,,,,,,,,67.37
429042,93.94,79.35,72.57,54.21,,,,,,,,,,,,,,,,,75.02
281676,310.63,,,,,,,,,,,,,,,,,,,,310.63
369190,38.60,30.44,,,,,,,,,,,,,,,,,,,34.52
535483,195.32,,,,,,,,,,,,,,,,,,,,195.32
503108,357.08,,,,,,,,,,,,,,,,,,,,357.08
161603,20.55,26.64,27.88,26.61,,,,,,,,,,,,,,,,,25.42
290750,65.98,95.21,117.12,82.50,107.30,,,,,,,,,,,,,,,,93.62
408449,175.02,56.25,28.86,,,,,,,,,,,,,,,,,,86.71
150284,72.20,,,,,,,,,,,,,,,,,,,,72.20
378482,232.60,,,,,,,,,,,,,,,,,,,,232.60
315173,90.62,21.33,47.91,57.18,46.34,42.36,35.05,28.85,21.60,50.23,,,,,,,,,,,44.15
251252,26.30,17.31,54.29,33.64,6.93,13.59,23.80,21.35,15.26,,,,,,,,,,,,23.61
279948,229.85,,,,,,,,,,,,,,,,,,,,229.85
203345,89.24,39.32,,,,,,,,,,,,,,,,,,,64.28
283216,151.69,259.41,,,,,,,,,,,,,,,,,,,205.55
312020,159.42,,,,,,,,,,,,,,,,,,,,159.42
5205,313.58,108.46,,,,,,,,,,,,,,,,,,,211.02
142718,128.54,45.41,30.75,45.59,41.59,17.35,9.73,18.61,5.86,,,,,,,,,,,,38.16
493641,153.53,145.30,,,,,,,,,,,,,,,,,,,149.42
483108,93.15,,,,,,,,,,,,,,,,,,,,93.15
183393,102.80,,,,,,,,,,,,,,,,,,,,102.80
43202,20.25,13.72,14.08,13.13,9.20,33.80,8.84,9.15,6.38,,,,,,,,,,,,14.28
6033,172.24,129.77,,,,,,,,,,,,,,,,,,,151.00
142386,153.12,49.73,107.87,80.90,,,,,,,,,,,,,,,,,97.91
377999,36.27,16.27,12.10,,,,,,,,,,,,,,,,,,21.55
275441,45.84,,,,,,,,,,,,,,,,,,,,45.84
426342,101.85,,,,,,,,,,,,,,,,,,,,101.85
294918,47.17,33.45,43.91,34.92,84.91,36.23,62.32,22.71,32.09,31.88,,,,,,,,,,,42.96
560879,8.04,14.08,13.80,9.58,6.91,12.42,3.97,4.96,3.15,5.24,10.79,2.70,5.49,265.00,,,,,,,26.15
373713,125.50,120.48,107.01,,,,,,,,,,,,,,,,,,117.66
541897,158.41,,,,,,,,,,,,,,,,,,,,158.41
31392,71.54,,,,,,,,,,,,,,,,,,,,71.54
327514,213.79,,,,,,,,,,,,,,,,,,,,213.79
44312,160.70,70.70,50.48,44.12,32.15,25.03,31.05,45.94,19.64,36.23,,,,,,,,,,,51.60
495183,161.70,,,,,,,,,,,,,,,,,,,,161.70
462565,117.54,30.09,26.19,28.40,20.91,39.32,7.52,,,,,,,,,,,,,,38.57
34222,130.31,,,,,,,,,,,,,,,,,,,,130.31
148055,12.77,15.03,,,,,,,,,,,,,,,,,,,13.90
392320,219.07,95.44,69.70,30.21,62.71,77.66,38.83,25.52,,,,,,,,,,,,,77.39
559665,207.46,48.90,33.02,29.48,,,,,,,,,,,,,,,,,79.72
225913,164.13,222.20,,,,,,,,,,,,,,,,,,,193.17
196490,200.25,60.51,40.09,59.11,36.92,12.43,39.63,26.95,,,,,,,,,,,,,59.49
20342,124.32,268.34,,,,,,,,,,,,,,,,,,,196.33
444199,147.61,9.40,57.43,,,,,,,,,,,,,,,,,,71.48
191301,230.19,,,,,,,,,,,,,,,,,,,,230.19
361022,295.92,,,,,,,,,,,,,,,,,,,,295.92
148282,115.62,70.92,14.49,23.60,17.64,26.07,17.66,25.99,9.04,16.40,11.23,9.39,,,,,,,,,29.84
275781,61.69,58.67,,,,,,,,,,,,,,,,,,,60.18
199883,17.73,12.15,83.66,19.16,22.09,22.69,19.78,12.14,11.26,50.78,7.07,,,,,,,,,,25.32
12744,40.04,28.87,69.96,44.10,,,,,,,,,,,,,,,,,45.74
341299,22.84,23.23,17.76,17.55,20.60,11.70,23.07,18.87,23.42,35.34,9.02,,,,,,,,,,20.31
472160,138.41,,,,,,,,,,,,,,,,,,,,138.41
333018,104.85,19.17,23.62,,,,,,,,,,,,,,,,,,49.21
118970,121.29,68.52,34.99,48.08,15.77,19.43,37.40,,,,,,,,,,,,,,49.35
349101,26.62,21.11,17.98,17.35,12.67,9.29,,,,,,,,,,,,,,,17.50
313733,169.64,107.87,,,,,,,,,,,,,,,,,,,138.75
468953,128.71,36.06,60.63,237.64,15.74,20.40,,,,,,,,,,,,,,,83.20
402333,269.14,,,,,,,,,,,,,,,,,,,,269.14
221523,385.38,,,,,,,,,,,,,,,,,,,,385.38
345507,120.93,16.31,6.22,4.04,5.10,4.96,4.65,5.45,3.19,2.49,,,,,,,,,,,17.33
432623,135.23,129.99,,,,,,,,,,,,,,,,,,,132.61
328462,249.95,122.48,,,,,,,,,,,,,,,,,,,186.21
185327,55.99,95.87,12.80,8.44,8.30,11.88,8.05,,,,,,,,,,,,,,28.76
310553,138.66,96.62,,,,,,,,,,,,,,,,,,,117.64
365444,177.49,,,,,,,,,,,,,,,,,,,,177.49
139637,120.71,,,,,,,,,,,,,,,,,,,,120.71
118450,13.05,,,,,,,,,,,,,,,,,,,,13.05
21711,83.57,37.88,23.63,111.17,39.85,,,,,,,,,,,,,,,,59.22
398992,197.16,,,,,,,,,,,,,,,,,,,,197.16
262394,60.03,35.73,56.32,29.71,21.76,30.78,,,,,,,,,,,,,,,39.05
494629,364.73,,,,,,,,,,,,,,,,,,,,364.73
498758,105.21,,,,,,,,,,,,,,,,,,,,105.21
29587,160.32,100.46,48.00,70.16,196.26,,,,,,,,,,,,,,,,115.04
561187,82.79,,,,,,,,,,,,,,,,,,,,82.79
503008,98.73,,,,,,,,,,,,,,,,,,,,98.73
149912,184.04,,,,,,,,,,,,,,,,,,,,184.04
573214,38.57,70.42,17.05,,,,,,,,,,,,,,,,,,42.01
292526,149.82,48.45,,,,,,,,,,,,,,,,,,,99.13
298784,202.79,66.77,57.96,86.86,41.49,33.51,13.70,24.44,25.06,131.50,24.05,,,,,,,,,,64.38
556178,58.58,,,,,,,,,,,,,,,,,,,,58.58
56205,95.13,,,,,,,,,,,,,,,,,,,,95.13
278435,225.80,62.40,39.85,49.55,,,,,,,,,,,,,,,,,94.40
407602,157.66,40.06,38.15,32.94,37.39,23.45,26.70,14.06,20.49,,,,,,,,,,,,43.43
225919,88.82,,,,,,,,,,,,,,,,,,,,88.82
224322,143.88,,,,,,,,,,,,,,,,,,,,143.88
385248,305.37,38.12,46.34,160.76,,,,,,,,,,,,,,,,,137.65
96420,78.12,,,,,,,,,,,,,,,,,,,,78.12
183620,129.44,63.63,93.19,47.96,44.41,6.49,45.12,,,,,,,,,,,,,,61.46
558671,125.92,,,,,,,,,,,,,,,,,,,,125.92
423173,225.80,,,,,,,,,,,,,,,,,,,,225.80
131581,74.02,,,,,,,,,,,,,,,,,,,,74.02
470313,155.59,,,,,,,,,,,,,,,,,,,,155.59
550666,13.44,14.91,19.36,13.39,13.52,8.32,20.35,11.47,14.90,12.43,15.03,11.49,14.65,29.00,,,,,,,15.16
10149,252.34,,,,,,,,,,,,,,,,,,,,252.34
204360,38.57,51.02,19.27,,,,,,,,,,,,,,,,,,36.29
4355,202.47,137.87,,,,,,,,,,,,,,,,,,,170.17
450359,157.63,86.29,45.65,134.42,,,,,,,,,,,,,,,,,106.00
353982,318.20,110.85,40.27,,,,,,,,,,,,,,,,,,156.44
192128,79.82,104.63,62.13,20.62,13.91,36.86,18.78,10.30,7.27,,,,,,,,,,,,39.37
549386,37.42,37.50,,,,,,,,,,,,,,,,,,,37.46
67078,75.35,160.33,87.13,,,,,,,,,,,,,,,,,,107.60
424464,83.06,78.74,81.69,65.80,76.32,,,,,,,,,,,,,,,,77.12
49097,43.47,25.58,,,,,,,,,,,,,,,,,,,34.52
57936,207.56,172.31,,,,,,,,,,,,,,,,,,,189.94
11340,85.11,44.53,87.93,62.81,39.25,43.10,,,,,,,,,,,,,,,60.46
254493,299.38,,,,,,,,,,,,,,,,,,,,299.38
331366,156.40,83.05,,,,,,,,,,,,,,,,,,,119.72
479008,44.15,109.53,65.10,18.07,97.81,35.59,23.88,12.90,15.96,14.04,,,,,,,,,,,43.70
307993,209.67,,,,,,,,,,,,,,,,,,,,209.67
392659,203.93,84.83,94.04,,,,,,,,,,,,,,,,,,127.60
114239,251.12,,,,,,,,,,,,,,,,,,,,251.12
145448,138.82,241.81,,,,,,,,,,,,,,,,,,,190.31
571970,154.37,5.41,13.32,8.95,3.48,4.62,6.88,8.25,11.19,7.17,6.88,9.70,6.30,17.00,,,,,,,18.82
529344,314.50,46.75,,,,,,,,,,,,,,,,,,,180.62
157416,26.64,38.19,,,,,,,,,,,,,,,,,,,32.41
70744,86.90,88.98,25.55,29.05,52.51,25.69,83.14,33.61,93.34,57.35,84.99,,,,,,,,,,60.10
84540,142.70,65.48,36.18,,,,,,,,,,,,,,,,,,81.45
418535,149.73,58.34,37.18,13.66,10.53,16.44,39.74,17.50,10.94,8.47,11.04,24.39,6.46,,,,,,,,31.11
215353,637.48,,,,,,,,,,,,,,,,,,,,637.48
218026,22.81,21.98,7.49,,,,,,,,,,,,,,,,,,17.43
199481,194.16,,,,,,,,,,,,,,,,,,,,194.16
250794,40.08,22.48,42.89,,,,,,,,,,,,,,,,,,35.15
469793,254.56,,,,,,,,,,,,,,,,,,,,254.56
5879,127.71,64.47,37.34,,,,,,,,,,,,,,,,,,76.51
337984,55.35,67.56,39.00,36.02,28.30,34.47,16.60,17.26,46.65,37.79,16.03,8.04,8.68,590.00,,,,,,,71.55
369259,127.00,117.57,73.04,,,,,,,,,,,,,,,,,,105.87
444576,25.83,,,,,,,,,,,,,,,,,,,,25.83
356623,68.07,15.87,34.89,25.55,,,,,,,,,,,,,,,,,36.09
440284,93.42,83.36,35.97,23.30,23.62,19.73,110.00,17.08,,,,,,,,,,,,,50.81
42492,94.79,,,,,,,,,,,,,,,,,,,,94.79
539124,191.58,128.69,156.49,140.35,,,,,,,,,,,,,,,,,154.28
195267,47.14,,,,,,,,,,,,,,,,,,,,47.14
7125,31.30,14.82,14.41,10.96,10.29,4.15,3.63,103.02,,,,,,,,,,,,,24.07
455261,499.25,,,,,,,,,,,,,,,,,,,,499.25
12993,42.65,13.18,,,,,,,,,,,,,,,,,,,27.91
326368,121.65,,,,,,,,,,,,,,,,,,,,121.65
282134,249.98,,,,,,,,,,,,,,,,,,,,249.98
157944,390.47,112.03,148.82,162.42,85.88,59.17,21.43,29.48,,,,,,,,,,,,,126.21
161079,100.00,,,,,,,,,,,,,,,,,,,,100.00
580613,279.86,56.49,66.39,28.58,17.23,38.40,50.73,29.14,33.77,19.19,27.72,25.70,638.00,,,,,,,,100.86
136833,77.29,,,,,,,,,,,,,,,,,,,,77.29
115363,77.34,,,,,,,,,,,,,,,,,,,,77.34
151988,230.31,314.69,,,,,,,,,,,,,,,,,,,272.50
568265,62.53,13.68,18.25,4.98,20.26,14.84,10.90,12.21,6.80,9.72,12.87,4.33,14.32,534.00,,,,,,,52.84
20748,220.04,,,,,,,,,,,,,,,,,,,,220.04
227460,18.33,16.05,14.65,,,,,,,,,,,,,,,,,,16.34
106166,27.73,,,,,,,,,,,,,,,,,,,,27.73
267875,25.57,18.63,18.53,23.78,,,,,,,,,,,,,,,,,21.63
108838,58.82,130.61,55.36,,,,,,,,,,,,,,,,,,81.60
138488,107.17,169.31,,,,,,,,,,,,,,,,,,,138.24
412151,169.63,128.35,,,,,,,,,,,,,,,,,,,148.99
79841,36.69,34.24,,,,,,,,,,,,,,,,,,,35.47
378163,437.18,,,,,,,,,,,,,,,,,,,,437.18
48419,639.04,,,,,,,,,,,,,,,,,,,,639.04
124979,243.72,,,,,,,,,,,,,,,,,,,,243.72
4678,22.57,9.45,,,,,,,,,,,,,,,,,,,16.01
80733,367.82,,,,,,,,,,,,,,,,,,,,367.82
12896,38.18,,,,,,,,,,,,,,,,,,,,38.18
230615,21.54,11.41,,,,,,,,,,,,,,,,,,,16.48
562232,147.80,240.18,44.60,124.40,6.84,,,,,,,,,,,,,,,,112.76
210012,104.95,,,,,,,,,,,,,,,,,,,,104.95
20779,69.38,9.25,50.32,12.51,56.24,38.65,33.61,,,,,,,,,,,,,,38.57
139440,57.03,42.96,38.03,55.39,22.12,27.69,,,,,,,,,,,,,,,40.54
337264,58.31,110.35,31.99,,,,,,,,,,,,,,,,,,66.88
515056,90.01,58.42,60.45,21.19,36.40,17.33,,,,,,,,,,,,,,,47.30
484028,166.40,,,,,,,,,,,,,,,,,,,,166.40
430302,215.98,69.23,21.93,,,,,,,,,,,,,,,,,,102.38
5394,28.26,,,,,,,,,,,,,,,,,,,,28.26
455610,48.36,46.19,67.85,,,,,,,,,,,,,,,,,,54.13
254589,254.51,182.74,,,,,,,,,,,,,,,,,,,218.62
436273,123.95,,,,,,,,,,,,,,,,,,,,123.95
9801,318.55,,,,,,,,,,,,,,,,,,,,318.55
74,18.42,13.55,15.71,31.66,15.33,11.69,,,,,,,,,,,,,,,17.73
322922,32.10,88.48,62.96,58.29,24.14,50.76,26.23,7.81,125.81,57.77,,,,,,,,,,,53.44
168775,291.96,,,,,,,,,,,,,,,,,,,,291.96
48609,13.26,17.92,21.69,12.97,9.78,11.66,8.79,5.86,15.41,12.62,4.04,8.25,12.34,,,,,,,,11.89
257236,93.07,,,,,,,,,,,,,,,,,,,,93.07
336695,500.00,,,,,,,,,,,,,,,,,,,,500.00
258021,38.26,,,,,,,,,,,,,,,,,,,,38.26
578962,18.55,15.48,15.34,16.12,27.59,17.10,16.96,21.37,22.83,12.06,14.81,12.53,619.00,,,,,,,,63.83
420081,28.95,23.54,17.87,23.77,24.77,9.58,20.71,55.11,10.36,3.08,21.71,8.93,32.94,,,,,,,,21.64
270744,75.16,,,,,,,,,,,,,,,,,,,,75.16
210522,148.85,142.39,182.70,181.22,69.41,,,,,,,,,,,,,,,,144.91
540160,149.30,44.17,7.78,6.18,46.20,10.26,7.84,,,,,,,,,,,,,,38.82
543193,182.85,,,,,,,,,,,,,,,,,,,,182.85
25282,332.97,,,,,,,,,,,,,,,,,,,,332.97
399545,179.78,109.31,,,,,,,,,,,,,,,,,,,144.55
519542,139.32,43.95,,,,,,,,,,,,,,,,,,,91.63
4069,66.89,68.95,,,,,,,,,,,,,,,,,,,67.92
565374,121.08,,,,,,,,,,,,,,,,,,,,121.08
85160,314.21,82.72,91.90,106.68,,,,,,,,,,,,,,,,,148.88
400853,63.17,38.18,,,,,,,,,,,,,,,,,,,50.67
183676,102.69,4.15,5.01,4.73,,,,,,,,,,,,,,,,,29.15
418816,213.57,,,,,,,,,,,,,,,,,,,,213.57
55375,304.89,135.04,,,,,,,,,,,,,,,,,,,219.96
225494,100.74,197.20,37.21,28.93,69.90,36.67,21.65,27.40,22.74,18.70,22.33,33.62,17.29,386.00,,,,,,,72.88
23879,107.62,83.44,68.02,,,,,,,,,,,,,,,,,,86.36
44825,33.70,,,,,,,,,,,,,,,,,,,,33.70
135666,69.59,72.45,69.19,21.25,29.64,15.99,,,,,,,,,,,,,,,46.35
104647,108.11,24.02,22.93,56.04,43.89,31.57,13.48,78.32,23.95,25.39,27.15,16.60,64.37,185.00,,,,,,,51.49
63619,32.84,,,,,,,,,,,,,,,,,,,,32.84
34445,52.11,,,,,,,,,,,,,,,,,,,,52.11
151877,53.88,58.77,23.31,24.19,21.27,,,,,,,,,,,,,,,,36.28
17882,29.62,24.52,39.13,30.34,22.19,44.86,25.61,37.31,38.42,,,,,,,,,,,,32.44
468508,9.07,7.79,7.11,4.55,5.22,5.81,5.01,8.97,5.54,5.11,3.81,7.63,,,,,,,,,6.30
106228,96.00,97.60,,,,,,,,,,,,,,,,,,,96.80
475725,636.74,,,,,,,,,,,,,,,,,,,,636.74
223874,40.86,46.23,56.14,28.09,61.88,67.46,56.85,65.12,33.84,51.53,22.65,17.96,,,,,,,,,45.72
205300,198.47,,,,,,,,,,,,,,,,,,,,198.47
557339,206.80,228.37,165.04,,,,,,,,,,,,,,,,,,200.07
43243,62.04,52.86,71.24,93.17,16.18,16.38,30.55,21.52,45.42,,,,,,,,,,,,45.48
327314,82.34,,,,,,,,,,,,,,,,,,,,82.34
302292,540.41,,,,,,,,,,,,,,,,,,,,540.41
137803,33.41,40.06,44.39,37.22,17.82,15.11,23.11,15.71,13.86,14.53,18.20,10.18,9.99,499.00,,,,,,,56.61
450308,131.01,27.02,50.47,42.46,14.72,,,,,,,,,,,,,,,,53.14
264336,33.49,,,,,,,,,,,,,,,,,,,,33.49
261603,356.82,,,,,,,,,,,,,,,,,,,,356.82
534829,167.92,146.81,114.18,35.82,53.73,97.08,45.47,113.03,,,,,,,,,,,,,96.76
382406,83.28,,,,,,,,,,,,,,,,,,,,83.28
299288,195.24,146.70,,,,,,,,,,,,,,,,,,,170.97
415672,52.89,32.92,41.25,48.25,30.49,44.63,30.27,26.78,31.11,19.33,116.36,32.80,41.17,198.00,,,,,,,53.30
166401,31.90,,,,,,,,,,,,,,,,,,,,31.90
295945,243.71,,,,,,,,,,,,,,,,,,,,243.71
411201,36.38,41.20,33.15,20.35,,,,,,,,,,,,,,,,,32.77
353748,54.87,,,,,,,,,,,,,,,,,,,,54.87
241318,131.66,120.58,135.26,,,,,,,,,,,,,,,,,,129.17
523953,191.79,32.18,80.90,76.83,51.23,53.69,24.22,31.13,14.61,44.58,10.17,30.95,,,,,,,,,53.52
237428,155.90,,,,,,,,,,,,,,,,,,,,155.90
367128,149.26,,,,,,,,,,,,,,,,,,,,149.26
93894,116.08,48.21,37.08,,,,,,,,,,,,,,,,,,67.12
522262,16.11,23.41,15.74,8.55,5.43,2.88,,,,,,,,,,,,,,,12.02
70815,69.39,17.44,,,,,,,,,,,,,,,,,,,43.41
245462,196.05,,,,,,,,,,,,,,,,,,,,196.05
205573,88.45,29.80,,,,,,,,,,,,,,,,,,,59.12
235126,81.98,171.10,,,,,,,,,,,,,,,,,,,126.54
520941,32.23,28.49,24.37,19.28,23.47,20.90,28.24,13.19,19.05,,,,,,,,,,,,23.25
561054,315.03,,,,,,,,,,,,,,,,,,,,315.03
49371,161.54,178.42,76.22,80.80,,,,,,,,,,,,,,,,,124.24
447787,371.66,,,,,,,,,,,,,,,,,,,,371.66
221547,215.73,271.22,,,,,,,,,,,,,,,,,,,243.48
100234,11.49,14.67,1.95,11.09,9.11,8.01,,,,,,,,,,,,,,,9.39
483897,85.98,19.15,13.98,,,,,,,,,,,,,,,,,,39.70
232511,239.34,68.76,89.11,,,,,,,,,,,,,,,,,,132.40
354929,45.95,219.74,65.27,45.02,11.04,37.55,39.08,16.62,24.51,,,,,,,,,,,,56.09
407286,263.95,,,,,,,,,,,,,,,,,,,,263.95
244539,56.20,50.42,36.76,32.99,25.95,43.37,43.78,16.18,25.11,28.93,,,,,,,,,,,35.97
554625,143.50,112.06,110.94,319.28,101.53,,,,,,,,,,,,,,,,157.46
267112,19.80,156.39,7.19,10.66,15.83,16.90,244.67,8.06,,,,,,,,,,,,,59.94
174871,118.51,104.70,66.85,42.57,158.38,77.28,39.28,,,,,,,,,,,,,,86.80
1722,43.28,26.84,24.43,15.49,29.57,24.88,,,,,,,,,,,,,,,27.42
566824,164.70,176.64,264.04,22.62,,,,,,,,,,,,,,,,,157.00
264659,43.93,50.71,,,,,,,,,,,,,,,,,,,47.32
546388,74.19,53.64,,,,,,,,,,,,,,,,,,,63.91
574769,231.03,,,,,,,,,,,,,,,,,,,,231.03
471858,144.55,,,,,,,,,,,,,,,,,,,,144.55
315196,127.17,85.79,22.86,24.87,16.27,8.22,15.51,11.17,5.76,12.75,,,,,,,,,,,33.04
289949,51.66,14.34,21.29,,,,,,,,,,,,,,,,,,29.10
249301,116.01,78.51,,,,,,,,,,,,,,,,,,,97.26
546210,616.89,,,,,,,,,,,,,,,,,,,,616.89
20671,264.26,,,,,,,,,,,,,,,,,,,,264.26
314907,13.62,42.32,5.53,4.89,14.19,4.01,,,,,,,,,,,,,,,14.09
7394,118.50,,,,,,,,,,,,,,,,,,,,118.50
116061,69.98,32.06,62.59,34.15,54.64,53.09,35.32,16.26,35.99,,,,,,,,,,,,43.79
136770,125.77,101.15,,,,,,,,,,,,,,,,,,,113.46
